capability	grammar	verifier	optimizer	lowering	invalid	runnable
ui.button	aic-ir-0.2.ebnf:button	m3_state_widgets_and_handlers_verify	m9_declared_ui_surface_survives_o0_and_o1	m9_emits_declared_ui_surface_deterministically	m3_rejects_non_button_handler_and_bad_orientation	m9-navigation.aic
ui.input.text	aic-ir-0.2.ebnf:edit-text,text-input	m9_common_inputs_and_spinner_verify	m9_declared_ui_surface_survives_o0_and_o1	m9_emits_common_input_modes_and_platform_spinner	m9-input-type.aic	m9-navigation.aic
ui.input.common	aic-ir-0.2.ebnf:input-type	m9_common_inputs_and_spinner_verify	m9_declared_ui_surface_survives_o0_and_o1	m9_emits_common_input_modes_and_platform_spinner	m9-input-type.aic	m9-navigation.aic
ui.input.spinner	aic-ir-0.2.ebnf:spinner	m9_common_inputs_and_spinner_verify	m9_declared_ui_surface_survives_o0_and_o1	m9_emits_common_input_modes_and_platform_spinner	m9-spinner-invalid-fixtures	m9-navigation.aic
ui.image.builtin	aic-ir-0.2.ebnf:image-view,builtin-icon	m9_declared_ui_variants_verify	m9_declared_ui_surface_survives_o0_and_o1	m9_emits_declared_ui_surface_deterministically	m9_declared_ui_variants_verify	m9-navigation.aic
ui.image.project_asset	aic-ir-0.2.ebnf:image-resource,resource.image	m9_typed_resource_surface_and_invalid_fixtures	m9_packages_localized_typed_resources_and_assets_deterministically	m9_emits_direct_typed_resource_calls_deterministically	m9-resource-invalid-asset.aic	verify-m9-resources.py
ui.progress	aic-ir-0.2.ebnf:progress-bar	m9_accessibility_semantics_and_view_states_verify	m9_declared_ui_surface_survives_o0_and_o1	m9_emits_accessibility_semantics_deterministically	m9-accessibility-missing.aic	m9-navigation.aic
ui.toolbar	aic-ir-0.2.ebnf:toolbar	m9_minimum_touch_targets_verify	m9_declared_ui_surface_survives_o0_and_o1	m9_emits_declared_ui_surface_deterministically	m9-touch-target-invalid-fixtures	m9-navigation.aic
ui.list.reusable_rows	aic-ir-0.2.ebnf:list-view	m9_state_backed_collections_and_selection_handlers_verify	m9_declared_ui_surface_survives_o0_and_o1	m9_emits_state_collections_and_typed_selection_listeners_deterministically	m9-selection-invalid-fixtures	m9-navigation.aic
ui.collection.string	aic-ir-0.2.ebnf:string-collection,collection-items	m9_declared_ui_variants_verify	m9_declared_ui_surface_survives_o0_and_o1	m9_emits_state_collections_and_typed_selection_listeners_deterministically	m9-collection-invalid-fixtures	m9-navigation.aic
ui.selection.events	aic-ir-0.2.ebnf:on-select	m9_state_backed_collections_and_selection_handlers_verify	m9_declared_ui_surface_survives_o0_and_o1	m9_emits_state_collections_and_typed_selection_listeners_deterministically	m9-selection-invalid-fixtures	m9-navigation.aic
ui.menu.popup	aic-ir-0.2.ebnf:show-menu	m9_minimum_touch_targets_verify	m9_declared_ui_surface_survives_o0_and_o1	m9_emits_declared_ui_surface_deterministically	preserves_m1_view_diagnostics	m9-navigation.aic
ui.dialog.alert	aic-ir-0.2.ebnf:show-dialog	m3_state_widgets_and_handlers_verify	m9_declared_ui_surface_survives_o0_and_o1	m9_emits_declared_ui_surface_deterministically	rejects_type_and_symbol_errors_with_locations	m9-navigation.aic
accessibility.content_description	aic-ir-0.2.ebnf:set-content-description	m9_accessibility_semantics_and_view_states_verify	m9_declared_ui_surface_survives_o0_and_o1	m9_emits_accessibility_semantics_deterministically	m9-accessibility-invalid-fixtures	m9-navigation.aic
accessibility.input_labels	aic-ir-0.2.ebnf:input-label	m9_input_labels_and_semantic_headings_verify	m9_declared_ui_surface_survives_o0_and_o1	m9_emits_input_labels_and_guarded_headings_deterministically	m9-input-label-invalid-fixtures	m9-navigation.aic
accessibility.headings	aic-ir-0.2.ebnf:heading	m9_input_labels_and_semantic_headings_verify	m9_declared_ui_surface_survives_o0_and_o1	m9_emits_input_labels_and_guarded_headings_deterministically	m9-heading-target.aic	m9-navigation.aic
accessibility.touch_targets	aic-ir-0.2.ebnf:layout	m9_minimum_touch_targets_verify	m9_touch_target_controls_survive_o0_and_o1	m9_emits_density_aware_minimum_touch_targets_deterministically	m9-touch-target-invalid-fixtures	m9-navigation.aic
accessibility.semantics	aic-ir-0.2.ebnf:set-decorative,set-enabled,set-visibility	m9_accessibility_semantics_and_view_states_verify	m9_declared_ui_surface_survives_o0_and_o1	m9_emits_accessibility_semantics_deterministically	m9-accessibility-invalid-fixtures	m9-navigation.aic
